# Codes used by lab Bioanalytica
#
# Format:
# <Code>;<Group Key>[;<Name>]
#
# Empty and comment (#) lines are ignored
# White space only matters for indentation of the Name.

aboyä;A2;  - A. boydii
afuä;A2;  - A. fumigatus
apulä;A2;  - A. pullulans
claä;A2;  - Cladosporium 
ecp;A2;ECP (e)
ecp1;A2;ECP
fusä;A2;  - Fusarium
humiä;A2;  - Befeuchter
i1g2;A2;IgG  Bienengift
i1g3;A2;IgG  Bienengift (e)
i3g2;A2;IgG  Wespengift
i3g3;A2;IgG  Wespengift (e)
ige;A2;IgE (Immunglobulin E)
mfaä;A2;  - M. faeni
papaä;A2;  - Papagei
pcaä;A2;  - P. casei
ras1n;A2;Allergiescreen
ras1p;A2;Allergiescreen
ras1q;A2;ras1 Allergiescreen
rcal1;A2;  Hausstaubmilbe (D. pteron.)
rcal10;A2;  Birkenpollen
rcal11;A2;  Haselnuss
rcal12;A2;  Eiklar
rcal13;A2;  Milch
rcal14;A2;  Kabeljau (Dorsch)
rcal15;A2;  Weizenmehl
rcal16;A2;  Sojabohne
rcal17;A2;  Erdnuss
rcal18;A2;  Apfel
rcal19;A2;  Karotte
rcal2;A2;  Hausstaubmilbe (D. farinae)
rcal20;A2;  Latex
rcal3;A2;  Aspergillus spp.
rcal4;A2;  Cladosporium herbarum
rcal5;A2;  Pferdeepithelien
rcal6;A2;  Hundeepithelien
rcal7;A2;  Katzenepithelien
rcal8;A2;  Lieschgras
rcal9;A2;  Beifusspollen
rcla1;A2;  Hausstaubmilbe (D. pteron.)
rcla10;A2;  Birkenpollen
rcla11;A2;  Eiklar
rcla12;A2;  Milch
rcla13;A2;  Kabeljau (Dorsch)
rcla14;A2;  Weizenmehl
rcla15;A2;  Reis
rcla16;A2;  Sojabohne
rcla17;A2;  Erdnuss
rcla18;A2;  Kartoffel
rcla19;A2;  Apfel
rcla2;A2;  Hausstaubmilbe (D. farinae)
rcla20;A2;  Karotte
rcla3;A2;  Aspergillus spp.
rcla4;A2;  Cladosporium herbarum
rcla5;A2;  Pferdeepithelien
rcla6;A2;  Hundeepithelien
rcla7;A2;  Katzenepithelien
rcla8;A2;  Lieschgras
rcla9;A2;  Beifusspollen
rcli1;A2;  Hausstaubmilbe (D. pteron.)
rcli10;A2;  Kaninchenepithelien
rcli11;A2;  Meerschweinchenepithelien
rcli12;A2;  Hamsterepithelien
rcli13;A2;  Federnmischung
rcli14;A2;  Wegerichpollen
rcli15;A2;  Roggenpollen
rcli16;A2;  Lieschgras
rcli17;A2;  Beifusspollen
rcli18;A2;  Birkenpollen
rcli19;A2;  Haselpollen
rcli2;A2;  Hausstaubmilbe (D. farinae)
rcli20;A2;  Erlenpollen
